filename,x1,x2,y1,y2,max_x,max_y
bGaslniO4a_a.tif,29348,30108,28404,29675,82944,197632
bGaslniO4a_a.tif,11735,12379,70274,71195,82944,197632
2qj5MlLLBT_a.tif,11185,12276,11571,12671,82944,196608
2qj5MlLLBT_a.tif,14380,15583,11252,12434,82944,196608
2qj5MlLLBT_a.tif,12162,13834,71136,72440,82944,196608
2qj5MlLLBT_a.tif,59717,60925,69848,70838,82944,196608
2qj5MlLLBT_b.tif,11740,12998,10358,11449,82944,196608
2qj5MlLLBT_b.tif,61137,62039,12162,13157,82944,196608
2qj5MlLLBT_b.tif,5089,6113,71851,72582,82944,196608
Kn5fOmiTn6_b.tif,15341,15908,170845,171896,82688,197632
2XE4wBhzed_b.tif,15447,16761,142268,143025,82944,197888
2XE4wBhzed_b.tif,70111,71380,127898,128652,82944,197888
2XE4wBhzed_b.tif,66744,67371,82172,82577,82944,197888
2XE4wBhzed_b.tif,13425,13888,78272,78662,82944,197888
fgh7blkYnD_b.tif,33713,34283,20384,21534,82944,197888
fgh7blkYnD_b.tif,82331,82927,13889,14473,82944,197888
fgh7blkYnD_b.tif,81763,82703,61605,62565,82944,197888
fgh7blkYnD_b.tif,33809,35384,68086,69377,82944,197888
fgh7blkYnD_b.tif,31462,33198,184856,185736,82944,197888
hleQjKWUWK_b.tif,13085,14060,35280,36156,82944,197888
hleQjKWUWK_b.tif,63140,64215,86793,87606,82944,197888
hleQjKWUWK_b.tif,60389,61433,142569,143213,82944,197888
hleQjKWUWK_b.tif,14940,16373,138538,139454,82944,197888
0SJ4TLT74S_b.tif,16859,17739,36176,36969,82688,197888
0SJ4TLT74S_b.tif,71317,72166,32196,32946,82688,197888
0SJ4TLT74S_b.tif,66926,68022,84483,85622,82688,197888
L3ysO1rzsI_a.tif,59840,60507,141375,142124,82688,198144
L3ysO1rzsI_a.tif,5424,6113,138995,139795,82688,198144
L3ysO1rzsI_b.tif,4537,5102,148147,148809,82688,198144
JRcVHxC7B0_a.tif,77659,79574,37512,40280,82688,197632
JRcVHxC7B0_a.tif,5330,6123,97883,98384,82688,197632
JRcVHxC7B0_a.tif,5334,5725,97901,98279,82688,197632
JRcVHxC7B0_a.tif,67555,68721,94912,95777,82688,197632
nwOCTALslG_a.tif,6526,7323,181642,182539,82944,197888
nwOCTALslG_a.tif,62447,63430,172404,173437,82944,197888
nwOCTALslG_b.tif,70827,71889,157808,158786,82944,197888
nwOCTALslG_b.tif,74229,75181,98311,99234,82944,197888
nwOCTALslG_b.tif,18405,19323,107609,108459,82944,197888
SHpdYEvPRk_a.tif,16210,16662,127730,128444,82688,198144
SHpdYEvPRk_a.tif,67048,67661,119066,119904,82688,198144
SHpdYEvPRk_a.tif,70907,71403,58927,59496,82688,198144
SHpdYEvPRk_a.tif,18439,18911,65659,66113,82688,198144
tN07oAdLhU_a.tif,7256,8112,43352,44255,82688,198144
tN07oAdLhU_a.tif,2698,3183,82314,83003,82688,198144
tN07oAdLhU_a.tif,49301,50295,41471,42549,82688,198144
tN07oAdLhU_a.tif,49101,49785,85040,85706,82688,198144
nYqE5IHBfp_a.tif,67743,68979,154505,155796,82688,197888
nYqE5IHBfp_a.tif,12000,13733,160099,161828,82688,197888
vMK209GUvI_a.tif,13695,14202,31587,32172,82944,198656
vMK209GUvI_a.tif,15768,16657,11394,12494,82944,198656
vMK209GUvI_a.tif,66421,67557,17247,18518,82944,198656
vMK209GUvI_a.tif,14719,15540,66623,68453,82944,198656
vMK209GUvI_a.tif,15603,17102,65945,66720,82944,198656
vMK209GUvI_a.tif,18761,19639,72330,73148,82944,198656
